community_name,Encounters 0-14,Encounters 15-64,Encounters 65+
100 Mile House,0,1,4
Agassiz/Harrison,0,0,1
Aldergrove/Otter,0,0,1
Arrow Lakes,0,1,1
Campbell River,0,2,3
Castlegar,0,7,5
Central Cowichan,0,2,4
Central Okanagan Rural West,0,3,4
Central Saanich,0,0,6
City of Langley,0,3,2
Comox,0,0,1
Comox Valley Rural,0,4,3
Courtenay,0,4,1
Cranbrook,0,0,1
Creston,0,18,23
Downtown Kelowna,0,59,40
Downtown Nanaimo,0,33,49
Downtown Victoria/Vic West,0,109,114
Fernie,1,8,0
Fort St John,0,1,0
Garden Village/Cascade/Douglas/Gilpin,0,9,5
Gibsons,0,1,0
Haney,0,3,0
Hope,0,1,0
Juan de Fuca Coast,0,0,1
Kamloops Centre North,0,1,0
Kamloops Centre South,2,26,52
Keremeos,0,2,0
Kimberley,0,1,1
Kootenay Lake,0,3,1
Ladner,0,2,5
Ladysmith,0,1,0
Lake Country,0,0,1
Langford South,0,1,1
Lower Thompson,0,10,4
Mount Pleasant,1,54,22
Nanaimo North/Lantzville,0,4,3
Nelson,0,6,9
New Westminster - Central,0,6,7
North Chilliwack,1,3,1
North Mission,0,2,0
North Saanich,0,4,5
North Vancouver City - West,0,5,2
Oceanside Rural,1,5,22
Parksville,0,18,71
Pender/Galiano/Saturna/Mayne,0,1,0
Penticton,0,4,5
Port Coquitlam,0,1,2
Powell River City,0,1,0
Prince George City - Central,0,2,0
Prince Rupert City Centre,0,1,0
Princeton,0,2,0
Quadra/Swan Lake,0,1,0
Qualicum Beach,0,5,4
Quesnel City Centre,0,0,1
Richmond City Centre,0,1,8
Salmon Arm,0,6,1
Salt Spring Island,0,1,0
Sechelt,0,3,0
Sidney,0,3,14
Sooke,0,5,3
South Cowichan,0,4,2
Southern Okanagan,0,1,1
Southwest Coquitlam,0,10,5
Summerland,1,0,3
Sunshine Coast Rural,0,1,3
Trail,0,3,1
Vernon Centre/Coldstream,0,10,7
Walnut Grove/Fort Langley,0,0,1
West Abbotsford,0,18,20
West Cariboo,0,5,1
West Kelowna,0,5,2
Whalley,0,21,28
White Rock,0,0,2
Williams Lake/East Cariboo,0,50,85
